# Blockpost room-protocol capture, started 2026-08-23 02:50:26
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>

13225,4 ==== CAPTURE ON ====
13230,2 # net: TcpClient.Connected = True
21503,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,456 1 76,589 2,85 167,1 b1 i297657982
21557,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,583 1 76,589 2,85 151,05 b1 i297658037
21610,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,824 1 76,589 2,85 132,75 b1 i297658089
21649,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,147 1 76,589 3,45 127,2 b1 i297658128
21702,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,506 2 76,188 3,6 132,45 b1 i297658182
21757,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,506 2 75,786 2,85 135,9 b1 i297658236
21804,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,506 2 75,385 2,85 135,9 b1 i297658283
21857,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,506 2 74,983 2,85 135,9 b1 i297658336
21907,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,506 1 74,517 2,85 135,9 b21 i297658387
21959,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,506 1 74,052 3,6 139,95 b5 i297658438
22008,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,587 1 73,556 5,25 149,25 b5 i297658487
22062,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,576 1 73,042 5,4 150,3 b5 i297658541
22102,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,486 1 72,526 7,35 156,9 b5 i297658581
22150,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,281 1 72,051 10,65 177,3 b5 i297658629
22201,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,953 1 71,677 9,45 201,6 b5 i297658680
22251,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,536 1 71,407 7,8 213,3 b5 i297658730
22305,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,145 1 71,071 6,45 219,15 b1 i297658784
22351,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 28,768 1 70,697 6,15 219,6 b1 i297658830
22402,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 28,397 1 70,301 5,4 220,05 b1 i297658882
22452,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 28,031 1 69,892 4,65 219,75 b1 i297658932
22500,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 27,591 1 69,607 3,3 214,95 b5 i297658980
22552,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 27,137 1 69,318 3,3 193,2 b5 i297659032
22602,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 26,742 1 68,957 3,3 168,3 b5 i297659082
22650,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 26,426 1 68,531 3,3 155,55 b5 i297659130
22701,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 26,167 1 68,062 2,85 153 b5 i297659181
22750,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,943 1 67,568 2,7 152,7 b5 i297659230
22801,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,749 1 67,055 2,1 150,75 b5 i297659281
22825,8 tx hdr=0xF5 op=0x0F slot/15 : b0
22853,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,457 1 66,637 1,2 145,8 b4 i297659333
22899,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,112 1 66,254 0,45 142,2 b4 i297659379
22949,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 24,747 1 65,877 0,45 136,8 b4 i297659429
23000,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 24,39 1 65,484 0,45 129,6 b4 i297659480
23052,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 24,055 1 65,069 0,45 124,05 b4 i297659533
23103,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 23,747 1 64,633 0,45 120 b4 i297659583
23153,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 23,464 1 64,179 0,45 116,85 b4 i297659633
23200,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 23,214 1 63,705 0,45 111,75 b4 i297659680
23232,6 # net: TcpClient.Connected = True
23253,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 23,011 1 63,212 0,45 104,1 b4 i297659733
23303,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 22,888 1 62,7 0,45 90,45 b4 i297659783
23355,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 22,841 1 62,178 0,45 82,8 b4 i297659835
23366,0 tx hdr=0xF5 op=0x65 ? :
23403,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 22,873 1 61,658 0,45 73,95 b4 i297659883
